Host,Datacenter,Cluster,Port Group,Switch,VLAN,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,VI SDK Server,VI SDK UUID
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-PUBLIC-190,VM,190,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-MGMT-19,VM,19,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,T-SRV-1010,VM,1010,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-ESTUDIANTES-100,VM,100,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-BAN-85,VM,1085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-64,VM,1064,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-HUBI-JAIL-79,VM,2079,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,VMotion,VMotion,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,VM Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,Management Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-BAN-85,VM,1085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-SWTICH-21,VM,21,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-TERCEROS-65,VM,1265,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-P2P-PA-1070,VM,1070,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-PUBLIC-208,VM,208,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-SWITCH-40,VM,40,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-75,VM,1175,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-TEST-FIN-1280,VM,1280,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-TI-10,VM,10,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-78,VM,1078,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-64,VM,1064,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-PUBLIC-190,VM,190,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-MGMT-19,VM,19,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,V-HUBI-JAIL-79,VM,2079,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
